# ----------------------------------------
# CitationFormatChecker
# Events: Event name-Tab 3
# 20251201-20251228
# ----------------------------------------

,,Segment,Exclude Israel,Exclude Israel,Exclude Israel,Exclude Israel,Totals,Totals,Totals,Totals
Event name,Landing page,Session source / medium,Event count,Total users,Event count per active user,Total revenue,Event count,Total users,Event count per active user,Total revenue
page_view,/how-to-cite-magazine-apa,(direct) / (none),8,8,1,0,8,8,1,0
scroll_depth,/how-to-cite-facebook-apa,duckduckgo / organic,8,1,8,0,8,1,8,0
scroll_depth,/how-to-cite-software-apa,bing / organic,8,1,8,0,8,1,8,0
scroll_depth,/how-to-cite-tv-episode-apa,bing / organic,8,2,4,0,8,2,4,0
session_start,/cite-aaai-conference-on-artificial-intelligence-apa,(direct) / (none),8,8,1,0,8,8,1,0
session_start,/cite-google-scholar-apa,bing / organic,8,8,1,0,8,8,1,0
session_start,/how-to-cite-government-report-apa,(direct) / (none),8,8,1,0,8,8,1,0
session_start,/how-to-cite-magazine-apa,(direct) / (none),8,8,1,0,8,8,1,0
first_visit,/cite-pubmed-apa,bing / organic,7,7,1,0,7,7,1,0
first_visit,/guide/apa-graduate-students,(direct) / (none),7,7,1,0,7,7,1,0
first_visit,/guide/apa-vs-mla-vs-chicago,(direct) / (none),7,6,1.1666666666666667,0,7,6,1.1666666666666667,0
first_visit,/guide/apa-vs-mla-vs-chicago,bing / organic,7,7,1,0,7,7,1,0
first_visit,/how-to-cite-facebook-apa,(direct) / (none),7,7,1,0,7,7,1,0
first_visit,/how-to-cite-instagram-apa,(direct) / (none),7,7,1,0,7,7,1,0
first_visit,/how-to-cite-journal-article-apa,(direct) / (none),7,7,1,0,7,7,1,0
first_visit,/how-to-cite-tv-episode-apa,bing / organic,7,7,1,0,7,7,1,0
page_view,/cite-britannica-apa,yahoo / organic,7,2,3.5,0,7,2,3.5,0
page_view,/guide/apa-graduate-students,(direct) / (none),7,7,1,0,7,7,1,0
page_view,/guide/apa-vs-mla-vs-chicago,(direct) / (none),7,6,1.1666666666666667,0,7,6,1.1666666666666667,0
page_view,/guide/apa-vs-mla-vs-chicago,bing / organic,7,7,1,0,7,7,1,0
page_view,/how-to-cite-facebook-apa,(direct) / (none),7,7,1,0,7,7,1,0
page_view,/how-to-cite-facebook-apa,bing / organic,7,4,1.75,0,7,4,1.75,0
page_view,/how-to-cite-instagram-apa,(direct) / (none),7,7,1,0,7,7,1,0
page_view,/how-to-cite-journal-article-apa,(direct) / (none),7,7,1,0,7,7,1,0
page_view,/how-to-cite-white-paper-apa,bing / organic,7,5,1.4,0,7,5,1.4,0
scroll,/how-to-cite-working-paper-apa,(direct) / (none),7,7,1,0,7,7,1,0
session_start,/cite-pubmed-apa,bing / organic,7,7,1,0,7,7,1,0
session_start,/guide/apa-graduate-students,(direct) / (none),7,7,1,0,7,7,1,0
session_start,/guide/apa-vs-mla-vs-chicago,(direct) / (none),7,6,1.1666666666666667,0,7,6,1.1666666666666667,0
session_start,/guide/apa-vs-mla-vs-chicago,bing / organic,7,7,1,0,7,7,1,0
session_start,/how-to-cite-facebook-apa,(direct) / (none),7,7,1,0,7,7,1,0
session_start,/how-to-cite-instagram-apa,(direct) / (none),7,7,1,0,7,7,1,0
session_start,/how-to-cite-journal-article-apa,(direct) / (none),7,7,1,0,7,7,1,0
session_start,/how-to-cite-tv-episode-apa,bing / organic,7,7,1,0,7,7,1,0
first_visit,/cite-apa-journal-apa,bing / organic,6,6,1,0,6,6,1,0
first_visit,/cite-britannica-apa,google / organic,6,6,1,0,6,6,1,0
first_visit,/cite-cdc-apa,(direct) / (none),6,6,1,0,6,6,1,0
first_visit,/cite-nature-physics-apa,(direct) / (none),6,6,1,0,6,6,1,0
first_visit,/guide/apa-in-text-citations,(direct) / (none),6,6,1,0,6,6,1,0
first_visit,/how-to-cite-dictionary-apa,(direct) / (none),6,6,1,0,6,6,1,0
first_visit,/how-to-cite-edited-book-apa,(direct) / (none),6,6,1,0,6,6,1,0
first_visit,/how-to-cite-newspaper-apa,(direct) / (none),6,6,1,0,6,6,1,0
first_visit,/how-to-cite-thesis-apa,(direct) / (none),6,6,1,0,6,6,1,0
mini_checker_opened,/guide/fix-apa-citation-errors,google / organic,6,1,6,0,6,1,6,0
mini_checker_validated,/guide/fix-apa-citation-errors,google / organic,6,1,6,0,6,1,6,0
page_view,/cite-american-economic-review-apa,(direct) / (none),6,3,2,0,6,3,2,0
page_view,/cite-angewandte-chemie-international-edition-apa,(direct) / (none),6,3,2,0,6,3,2,0
page_view,/cite-arxiv-apa,chatgpt.com / referral,6,3,2,0,6,3,2,0
page_view,/cite-associated-press-apa,bing / organic,6,3,2,0,6,3,2,0
page_view,/cite-britannica-apa,(not set),6,2,3,0,6,2,3,0
page_view,/cite-britannica-apa,chatgpt.com / (not set),6,3,2,0,6,3,2,0
